DEPTH,PHIF,SW,VSH,KLOGH
3721.9128,0.082296,1.0,0.741877,0.0
3722.0652,0.105285,0.8501,0.753415,0.0
3722.2176,0.090382,0.9169,0.758888,0.0
3722.37,0.099962,0.8165,0.764362,0.0
3722.5224,0.118208,0.7062,0.769836,0.0
3722.6748,0.059908,1.0,0.659511,0.0
3722.8272,0.098235,0.865,0.549186,0.0
3722.9796,0.09089,0.9919,0.438861,0.0
3723.132,0.111745,0.9255,0.328536,0.0
3723.2844,0.099511,1.0,0.218211,0.0
3723.4368,0.104282,0.9351,0.107886,0.0
3723.5892,0.106979,0.7875,0.2036,0.0
3723.7416,0.08664,0.8092,0.299315,0.0
3723.894,0.122439,0.6618,0.39503,0.0
3724.0464,0.087772,0.9537,0.490745,0.0
3724.1988,0.109055,0.8677,0.58646,0.0
3724.3512,0.095752,0.9617,0.682175,0.0
3724.5036,0.089808,0.9981,0.77789,0.0
3724.656,0.102637,0.9,0.796723,0.0
3724.8084,0.090371,0.9848,0.793235,0.0
3724.9608,0.101033,0.9026,0.789747,0.0
3725.1132,0.099469,0.91,0.772454,0.0
3725.2656,0.099998,0.9121,0.773198,0.0
3725.418,0.091432,0.985,0.773941,0.0
3725.5704,0.120316,0.8111,0.774684,0.0
3725.7228,0.127927,0.7732,0.775428,0.0
3725.8752,0.10493,0.8878,0.77617,0.0
3726.0276,0.097342,0.9362,0.776914,0.0
3726.18,0.113377,0.8408,0.777657,0.0
3726.3324,0.102195,0.9106,0.778401,0.0
3726.4848,0.088763,1.0,0.779144,0.0
3726.6372,0.105846,0.8855,0.779887,0.0
3726.7896,0.101094,0.9131,0.78063,0.0
3726.942,0.110179,0.854,0.781374,0.0
3727.0944,0.096292,0.9361,0.782117,0.0
3727.2468,0.091952,0.9618,0.78286,0.0
3727.3992,0.098362,0.9121,0.783604,0.0
3727.5516,0.086606,0.9993,0.784347,0.0
3727.704,0.101554,0.8883,0.78509,0.0
3727.8564,0.094651,0.9336,0.785833,0.0
3728.0088,0.118722,0.7896,0.786577,0.0
3728.1612,0.092041,0.9495,0.78732,0.0
3728.3136,0.093007,0.9407,0.788063,0.0
3728.466,0.085514,0.9993,0.788807,0.0
3728.6184,0.07156,1.0,0.78955,0.0
3728.7708,0.104708,0.8667,0.79144,0.0
3728.9232,0.098413,0.9084,0.793813,0.0
3729.0756,0.098387,0.9079,0.796186,0.0
3729.228,0.104813,0.8662,0.786217,0.0
3729.3804,0.110729,0.8316,0.786652,0.0
3729.5328,0.100578,0.8906,0.787086,0.0
3729.6852,0.11339,0.8163,0.787521,0.0
3729.8376,0.103802,0.8761,0.787956,0.0
3729.99,0.11608,0.813,0.788391,0.0
3730.1424,0.131659,0.7405,0.788825,0.0
3730.2948,0.1103,0.8339,0.78454,0.0
3730.4472,0.119854,0.778,0.780255,0.0
3730.5996,0.145597,0.6766,0.77597,0.0
3730.752,0.139916,0.7027,0.771684,0.0
3730.9044,0.126989,0.7511,0.767399,0.0
3731.0568,0.110816,0.805,0.763114,0.0
3731.2092,0.124676,0.7016,0.758828,0.0
3731.3616,0.117234,0.6984,0.754543,0.0
3731.514,0.081325,0.8882,0.750258,0.0
3731.6664,0.024418,1.0,0.745973,0.0
3731.8188,0.105057,0.7536,0.741687,0.0
3731.9712,0.018623,1.0,0.65218,0.0
3732.1236,0.087897,0.9172,0.782928,0.0
3732.276,0.120839,0.74,0.788033,0.0
3732.4284,0.128465,0.7106,0.788906,0.0
3732.5808,0.120462,0.7412,0.789779,0.0
3732.7332,0.120966,0.7345,0.790652,0.0
3732.8856,0.125252,0.7164,0.791525,0.0
3733.038,0.111881,0.7851,0.792398,0.0
3733.1904,0.10326,0.8434,0.793271,0.0
3733.3428,0.104297,0.846,0.794144,0.0
3733.4952,0.109121,0.824,0.795017,0.0
3733.6476,0.114495,0.8028,0.768506,0.0
3733.8,0.104341,0.8711,0.784685,0.0
3733.9524,0.10805,0.8607,0.724658,0.0
3734.1048,0.11342,0.8378,0.752626,0.0
3734.2572,0.109157,0.8642,0.754001,0.0
3734.4096,0.095216,0.9544,0.755376,0.0
3734.562,0.086593,1.0,0.761402,0.0
3734.7144,0.102089,0.8921,0.700714,0.0
3734.8668,0.112861,0.8198,0.788958,0.0
3735.0192,0.110761,0.8239,0.782402,0.0
3735.1716,0.104326,0.8549,0.775845,0.0
3735.324,0.106443,0.8382,0.76666,0.0
3735.4764,0.106987,0.8347,0.710013,0.0
3735.6288,0.11288,0.8074,0.781974,0.0
3735.7812,0.119865,0.7809,0.669687,0.0001
3735.9336,0.13328,0.7302,0.747077,0.0
3736.086,0.117803,0.804,0.759332,0.0
3736.2384,0.10489,0.8758,0.724075,0.0
3736.3908,0.096806,0.9271,0.732858,0.0
3736.5432,0.105343,0.8703,0.679323,0.0
3736.6956,0.09413,0.946,0.703953,0.0
3736.848,0.101583,0.8985,0.705986,0.0
3737.0004,0.109646,0.8531,0.677339,0.0
3737.1528,0.107,0.8693,0.769412,0.0
3737.3052,0.113951,0.828,0.746615,0.0
3737.4576,0.117192,0.8072,0.76312,0.0
3737.61,0.122024,0.7799,0.768214,0.0
3737.7624,0.123114,0.7713,0.754717,0.0
3737.9148,0.127402,0.7503,0.758173,0.0
3738.0672,0.138665,0.7119,0.761629,0.0
3738.2196,0.116218,0.8327,0.765085,0.0
3738.372,0.088818,1.0,0.717951,0.0
3738.5244,0.11013,0.9039,0.754349,0.0
3738.6768,0.099505,0.9612,0.666967,0.0
3738.8292,0.104818,0.9017,0.718328,0.0
3738.9816,0.118227,0.801,0.728102,0.0
3739.134,0.111853,0.8097,0.785513,0.0
3739.2864,0.124145,0.7354,0.745007,0.0
3739.4388,0.128478,0.7136,0.732714,0.0
3739.5912,0.106003,0.825,0.7526,0.0
3739.7436,0.109127,0.812,0.772486,0.0
3739.896,0.123063,0.7452,0.758899,0.0
3740.0484,0.109195,0.8125,0.755119,0.0
3740.2008,0.110211,0.8056,0.767857,0.0
3740.3532,0.113964,0.7851,0.777221,0.0
3740.5056,0.100055,0.8617,0.744377,0.0
3740.658,0.102678,0.8416,0.730155,0.0
3740.8104,0.053956,1.0,0.735713,0.0
3740.9628,0.039304,1.0,0.752456,0.0
3741.1152,0.097619,0.8362,0.713303,0.0
3741.2676,0.131052,0.6603,0.77122,0.0
3741.42,0.131183,0.65,0.739448,0.0
3741.5724,0.096374,0.8121,0.788144,0.0
3741.7248,0.11016,0.7432,0.678806,0.0
3741.8772,0.10968,0.7564,0.701603,0.0
3742.0296,0.110748,0.7626,0.66554,0.0001
3742.182,0.102184,0.8191,0.690525,0.0
3742.3344,0.103222,0.8189,0.662701,0.0001
3742.4868,0.103761,0.8161,0.747005,0.0
3742.6392,0.124113,0.7144,0.698184,0.0
