DEPTH,GR,RT,RHOB,NPHI,DT
3055.0104,39.5121994,4.09989976,2.42720007,0.10859999,69.1817016
3055.1628,44.2066993,3.89510011,2.41260004,0.10849999,69.4834976
3055.3152,43.3941993,3.7256,2.41070008,0.10989999,71.8964004
3055.4676,51.218399,3.72270011,2.3427999,0.11289999,73.1082992
3055.62,55.1305999,3.31550002,2.31570005,0.12559999,73.5299987
3055.7724,61.0588989,2.94059991,2.32130002,0.14059999,73.1468963
3055.9248,56.5448989,2.72889995,2.33089995,0.1365,74.0185012
3056.0772,53.3550987,2.81599998,2.31690001,0.122,71.7042007
3056.2296,50.9476013,3.36610007,2.31290006,0.10729999,68.5906982
3056.382,49.4429016,3.74099993,2.31870007,0.10679999,69.1520996
3056.5344,46.8247985,3.76679992,2.34179997,0.1045,67.9878005
3056.6868,42.9127006,3.88709998,2.32389998,0.10239999,65.310997
3056.8392,40.3848991,4.17659997,2.31870007,0.097,68.5485
3056.9916,41.5886001,4.45949983,2.33279991,0.09579999,65.6425018
3057.144,41.8894996,4.6788001,2.35170006,0.09279999,66.0083007
3057.2964,44.1164016,4.68550014,2.43009996,0.0894,69.1128997
3057.4488,42.7020988,4.98110008,2.36789989,0.0828,68.1204986
3057.6012,43.0932998,4.80639982,2.4347999,0.0749,65.9008026
3057.7536,43.3941993,4.93819999,2.39569997,0.07159999,62.0699996
3057.906,45.6211013,4.9584999,2.48749995,0.07299999,69.1774978
3058.0584,45.4404983,5.18520021,2.4985001,0.0762,68.7022018
3058.2108,46.2229995,4.84619998,2.56800007,0.07999999,68.8442001
3058.3632,46.523899,4.86040019,2.57649993,0.08169999,67.2133026
3058.5156,47.125801,4.6704998,2.58899998,0.0854,70.7822036
3058.668,48.9314002,4.62970018,2.59470009,0.0851,68.5603027
3058.8204,49.2322998,4.41540002,2.59240007,0.08829999,69.5654983
3058.9728,50.3156013,4.35410022,2.57899999,0.0891,67.3641967
3059.1252,50.4360008,4.00169992,2.56599998,0.0908,67.234703
3059.2776,48.6304016,4.12190008,2.56539988,0.0934,69.4745025
3059.43,50.4360008,3.97059988,2.5697999,0.0965,71.1673965
3059.5824,48.7206993,3.5157001,2.57780003,0.1017,73.1228027
3059.7348,51.5194015,3.53460001,2.58109998,0.0995,73.7029037
3059.8872,50.7067985,3.44039988,2.58049988,0.0956,68.7801971
3060.0396,49.2924995,3.37930011,2.58629989,0.08919999,66.2583999
